STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-02,10.5,"H,,S",,,3.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-03,11.5,"H,,S",,,3.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-04,11.4,"H,,S",21,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-05,12.9,"H,,S",,,8.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-06,13,"H,,S",,,3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-07,11.9,"H,,S",27.2,",,S",4.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-08,11.7,"H,,S",,,6.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-09,11.2,"H,,S",,,5.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-10,11.6,"H,,S",,,3.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-11,13.5,"H,,S",25,",,S",6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-12,13.1,"H,,S",,,3.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-13,12.8,"H,,S",24.9,",,S",5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-14,13.7,"H,,S",21.5,",,S",8.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-15,14.8,"H,,S",18.2,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-16,8.6,"H,,S",16.5,",,S",6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-17,8.1,"H,,S",,,5.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-18,5.7,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-19,8.1,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-20,9.3,"H,,S",22.6,",,S",-0.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-21,10.2,"H,,S",,,0,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-22,12.9,"H,,S",,,5.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-23,15.2,"H,,S",,,7.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-24,14.2,"H,,S",27.8,",,S",3.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-25,9.1,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-26,6.5,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-27,8.2,"H,,S",,,-2.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-28,13.1,"H,,S",,,-0.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-29,17.3,"H,,S",30.9,",,S",3.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-06-30,12.9,"H,,S",27.4,",,S",9.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-01,9.8,"H,,S",15.3,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-02,7.9,"H,,S",,,1.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-03,10.7,"H,,S",18.8,",,S",3.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-04,9.1,"H,,S",14.8,",,S",6.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-05,7.7,"H,,S",10.4,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-06,7.8,"H,,S",10.5,",,S",5.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-07,8.6,"H,,S",,,3.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-08,7.1,"H,,S",,,-0.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-09,10.4,"H,,S",,,0.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-10,12.3,"H,,S",,,2.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-11,12.7,"H,,S",,,3.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-12,12.2,"H,,S",25.3,",,S",5.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-13,15.1,"H,,S",,,7.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-14,15.1,"H,,S",,,11.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-15,11.8,"H,,S",21.5,",,S",6.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-16,13.2,"H,,S",18.1,",,S",8.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-17,13.3,"H,,S",,,4.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-18,11.9,"H,,S",,,2.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-19,15.7,"H,,S",25.7,",,S",4.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-20,15.4,"H,,S",,,8.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-21,15.6,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-22,12.9,"H,,S",,,8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-23,9.2,"H,,S",15.6,",,S",7.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-24,6.2,"H,,S",10.5,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-25,5.7,"H,,S",,,-2.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-26,6.9,"H,,S",,,,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-27,7.9,"H,,S",19.8,",,S",-1.1,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-28,9.8,"H,,S",,,1.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-29,10.6,"H,,S",,,0.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-30,12.4,"H,,S",,,0.9,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-07-31,13.4,"H,,S",,,1.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-01,12.1,"H,,S",27.6,",,S",3.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-02,11,"H,,S",20.2,",,S",7.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-03,7.4,"H,,S",,,-2.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-04,8,"H,,S",,,-1.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-05,8.9,"H,,S",,,-1.2,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-06,11.1,"H,,S",,,-0.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-07,12.8,"H,,S",26.4,",,S",0.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-08,8.7,"H,,S",24.5,",,S",1.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-08-09,8.7,"H,,S",,,5.6,",,S"
